date,text,comments_count,likes_count,reposts_count,activity
1591446471,"Простое объяснение всех времен в английском. 
Пишите «+» в комментариях, если хотите версию с переводом. 😉

✅ Запишитесь на бесплатный имейл-курс по 12 временам английского https://go.skyeng.ru/alltimesnk",104,1186,140,1430
1424708125,"60 английских фраз на все случаи жизни
Такого вы в разговорниках не найдете!

In our city, bears usually walk the streets. - У нас в городе медведи ходят по улицам.
What should I do with such a huge pile of money? - Что мне делать с этой кучей денег?
There is a mouse living in my grandpa's beard. - У моего дедушки в бороде живет мышь.
If I don't get something to eat right now, I'm going to die. - Если я сейчас не поем, то умру.
I just hate raсcoons! - Я ненавижу енотов.
Can I stay at your place for a while? - Можно я поживу немного у тебя?
This is the best boot I've ever had. - Это самый лучший сапог из тех, что я носила.
And now I'll sing! - Сейчас спою!
How can I find the best local hot-dog spot? - Где здесь продают самые вкусные хот-доги?
I usually visit my shrink on Mondays. - Обычно я хожу к психотерапевту по понедельникам.

Все 60 фраз в шести картинках. Сохраните, пригодятся!
Еще несколько тысяч интересных английских слов и выражений в группе: http://vk.com/skyeng

Новые фразы каждый день. Мы всегда найдем, чем удивить - подписывайтесь.",0,1059,230,1289
1583942411,"🎁 Ребят, мы тут конкурс затеяли. Подарим 2 БЕСПЛАТНЫХ урока победителю. 
Что нужно сделать: 
1. Быть подписчиком Skyeng. 
2. Оставить комментарий к посту «готово».
3. Поставить лайк к посту.
4. Разыграем 2 урока среди всех, кто выполнил условия 18 марта. 

P.S. Победителя выберем случайным образом.",661,586,8,1255
1593871472,"58 фразовых глаголов на все случаи жизни! 

Без фразовых глаголов можно понимать только самые базовые английские выражения. Порой значение всей фразы зависит от предлога или наречия. Мы собрали самые распространенные фразовые глаголы — сохраняйте их, чтобы они всегда были под рукой. 
⠀
Хотите больше подобных карточек? Ставьте ➕ в комментариях.",69,955,203,1227
1560929039,"Теперь вы знаете, как отвечать:
– How are you? 
– I'm OK, I'm not alcoholic.",132,1024,31,1187
1609318604,"Новогодний словарик: 36 праздничных английских слов в вашу копилку 🇬🇧🎄

Отвлекитесь от списка праздничных дел и посмотрите наш новогодний список слов: они помогут вам поздравить друзей из других стран и понять новогодние поздравления от носителей языка.

Сохраняйте себе 📌",0,655,517,1172
1417540800,"100 английских фраз для путешествий
Эти фразы выручат в любом месте. Сохраните, пригодится.

Could you tell me how to get to the ...? - Вы не подскажете, как добраться до…?
Do you know where the ... is? - Вы не знаете, где находится…?
How far is the…? - Как далеко до…?
airport - аэропорт
train station - железнодорожный вокзал
bus station - автобусная станция
Can you show me on the map? - Вы можете показать мне на карте?
I'm looking for this address - Я ищу этот адрес
It's this way - Это сюда
It's that way - Это туда
You're going the wrong way - Вы идете не в ту сторону
Take this road - Следуйте по этой дороге
Turn left - Поверните налево
Turn right - Поверните направо
Go straight ahead - Идите прямо
Take the first turn on the left - Поверните на первом повороте налево
Take the second turn on the right - Поверните на втором повороте направо
Turn left at the crossroads - На перекрестке поверните направо
Continue straight ahead - Продолжайте идти (ехать) прямо
You'll pass a park on your left - Слева будет парк
Keep going for another… - Пройдите еще…

Все 100 полезных фраз в трех картинках! Еще несколько тысяч популярных английских слов и выражений в группе http://vk.com/skyeng
Новые фразы каждый день.
Присоединяйтесь, учите, общайтесь.",0,883,273,1156
1575036060,"✅Приставки открывают сразу много новых слов при минимуме усилий с вашей стороны. Чтобы еще проще было, мы все нарисовали на карточках.
✅БЕСПЛАТНОЕ занятие в Skyeng по ссылке: http://skyeng.ru/go/freezan1212",8,907,184,1099
1582095606,"Наши методисты составили чек-лист: какие темы английской грамматики учить на каждом уровне языка. 

📌И как только вы сделаете репост этой записи, запишитесь на первое БЕСПЛАТНОЕ занятие в Skyeng по ссылке: skyeng.ru/go/zan4free",26,889,173,1088
1614434940,"58 фразовых глаголов 🔥🇬🇧

Мы собрали в одну подборку 58 фразовых глаголов 💣 на все случаи жизни, чтобы вы могли легко запомнить их и пользоваться в любой ситуации. Сохраняйте себе 📌",3,518,526,1047
1585118114,👉 Без паники!,38,893,27,958
1576914557,"Skyeng объясняет как не запутаться в английской пунктуации в четырех картинках 
😄Управляйте запятыми, а не подчиняйтесь им.",20,827,99,946
1613116047,"5 важных предлогов в английском 🔥🇬🇧

Предлоги в английском часто не совпадают с употреблением в русском языке 📝 Чтобы грамотно строить предложения, необходимо не просто зазубрить предлоги, но и научиться их чувствовать.

Сохраняйте и перечитывайте карточки хотя бы раз в день, и нужные сочетания сами отложатся в памяти 📌",8,474,457,939
1614590078,"Не путайте предлоги: полезные карточки 🇬🇧📌

Запутаться в английских предлогах очень просто. Все эти in, on, at с их бесконечными значениями сводят с ума 🤯

Чтобы сохранить самообладание и разобраться в предлогах, сохраняйте карточки: мы упорядочили информацию так, чтобы у вас больше не возникало вопросов. 

А если вопросы все же остались, смело задавайте их в комментариях 🤓 В каких английских предлогах вы путаетесь чаще всего?",0,455,477,932
1655394926,"Чем заменить надоевшее «How are you?» 

Мы собрали 8 вариантов этой фразы для тех, кто хочет разнообразить свою речь и лучше владеть английским. Листайте карточки. Репост, чтобы сохранить!
 
Вы знаете, где найдете еще больше полезного и интересного :) 
На занятиях в Skyeng. 
 
Первое — вводное — бесплатное. Запишитесь через [http://vk.me/skyeng|сообщения группы] и получите 3 урока в подарок. До встречи на занятиях!",7,531,366,904
1588256830,Идея на майские.💡80 иностранных фильмов для просмотра в оригинале и не только. 👇🏻,47,727,121,895
1555683420,"Раз в неделю, мы и [club130552184|Topsify] предлагаем вам решить, какую песню разобрать с точки зрения английского. Победитель голосования прошлой недели песня «Chlorine». https://vk.com/skyeng?w=wall-51890028_25661 

Приходите завтра за свежей порцией музыки и проголосуйте за новый разбор.",27,811,26,864
1599653403,"Английские предлоги не поддаются каким-либо правилам 🤷🏻‍♀. Можно часами зубрить их, но лучше постараться понять и почувствовать, где ставить on, а где in.

Мы сделали удобные карточки 📝 с самыми распространенными фразами для самых популярных предлогов, чтобы упростить вам задачу.

Сохраняйте и перечитывайте их хотя бы раз в день 🤓, и нужные сочетания сами отложатся в памяти! 

Еще лучше разобраться в грамматике английского языка поможет эта ссылка 🔥 https://go.skyeng.ru/ppgrammar",6,703,139,848
1615298700,Синонимы к фразе «I like» 😍 Сохраняйте себе и расширяйте словарный запас.,11,569,258,838
1592669785,"Синонимы к прилагательным happy, good и beautiful. 🇬🇧 👇

Для того, чтобы сказать, что человек счастливый, хороший или красивый (или все сразу), есть много слов с разными оттенками смысла. Поэтому не стесняйтесь использовать их все. Поверьте, комплимент «You're stunning!» звучит гораздо круче, чем приевшееся beautiful. 😉",10,694,128,832
1561130880,"Мы любим разбирать Карди Би. Это как будто выучил новый язык. 

Трек «Press» — дисс на желтую прессу и всех тех, кто критикует певицу в интернете. Давайте разбираться и заучивать текст, чтобы подпевать Карди. Это отличная тренировка развития скорости речи на английском: вы ведь будете четко проговаривать все слова, в отличие от Карди.",79,696,53,828
1588573020,"Хвалите себя чаще! 

❓ Расскажите, как вы проводите время на самоизоляции. Пройдите опрос: «Как вы совмещаете отдых и работу на карантине» и получите подарки по ссылке: skyeng.ru/go/vkarantin",22,719,70,811
1567234808,"😃Билли Айлиш проспала премию Video Music Awards в России. 
⠀ 
Так и написала в своем инстаграм: ""i was asleep in russia for the awards lmao"". Чтобы понимать ее посты нужно разобрать разницу между asleep и sleep. 
⠀ 
➡ SLEEP 
Sleep переводится глаголом «спать» или существительным «сон». 
⠀ 
- I couldn’t sleep last night because of the noise — Я вчера не мог нормально спать из-за шума. 
- My brother talks in his sleep sometimes — Мой брат иногда разговаривает во сне. 
⠀ 
Глагол to sleep часто используют вместе с такими наречиями, как well, badly, deeply, late. 
⠀ 
- I like to sleep late at the weekend — Я люблю поспать подольше на выходных. 
- Did you sleep well last night? — Ты хорошо спала прошлой ночью? 
⠀ 
Существительное sleep часто можно встретить с глаголами to get, to have, to go to, to send to, to fall into. 
⠀ 
- His lecture sent me to sleep — Его лекция меня усыпила. 
- You need to get some sleep, you look really tired. — Тебе нужно поспать, выглядишь очень уставшим. 
⠀ 
➡ ASLEEP 
Asleep — прилагательное «спящий». Оно никогда не используется перед существительными, только после глаголов или глаголов-связок вроде to be. В большинстве случаев на русский переводим глаголом «спать». 
⠀ 
- The baby is asleep upstairs. — Малыш спит наверху. 
- I was asleep in Russia for the awards lmao — Я спала в России, когда была премия lmao. 
Полезное выражение to fall asleep — заснуть: 
⠀ 
- I fell asleep watching the new film — Я заснула, смотря новый фильм.",58,727,24,809
1611040740,"В чем разница между словами say, tell, speak и talk? Рассказываем все о глаголах говорения 🇬🇧

✅ Say — «сказать» vs. tell — «рассказать»

Say подходит, чтобы высказать мнение, предложение, сообщить факт. Это короткое высказывание — одно слово, как во фразах to say no (отказать) и to say hi (поздороваться), или одно-два предложения: «You said you didn’t want the last cupcake. I definitely heard that» («Ты сказал, что не хочешь последний капкейк. Я точно это слышал»). В прямой речи, когда передаем дословно слова другого человека, тоже нужен say.

Tell — рассказать историю, сообщить информацию. Это про более длинные высказывания: «And then he told me how he had got the job by lying about his level of English» («А потом он рассказал мне, как получил работу, соврав о своем уровне английского»).

✅ Speak — говорить vs. talk — разговаривать

Speak — про разговоры с незнакомыми людьми и общение в официальной обстановке. Менеджер ресторана, спикер на конференции по маркетингу — это все сюда. Если на русском вы бы общались на «вы», однозначно нужен speak: «The President refused to speak to reporters» («Президент отказался говорить с репортерами»).

Talk — про более неформальное общение, когда вы переходите на «ты». Это болтовня с семьей и друзьями, коллегами, своим преподавателем в Skyeng: «I talk to my parents on Facetime every week» («Я разговариваю с родителями по фейстайму каждую неделю»).",2,443,364,809
1591704289,"Напишите в комментариях цифру от 1 до 7. Фраза, которая вам выпадет будет девизом вашей недели. 👇🏻",74,664,71,809
1450178421,"Skyeng Steps — бесплатный курс разговорного английского!

Вы научитесь свободно общаться с носителями языка в любой ситуации. Новые уроки каждый четверг у вас в почте. Бесплатно!

Подписывайтесь на курс «Болтовня по-английски» прямо сейчас: http://school.skyeng.ru/steps/?ch=vk",0,658,133,791
1608657060,"5 самых важных времен в английском 

В английском языке 12 времен 😨 Или 16 ― некоторые авторы учебников включают сюда еще и условные предложения.

Хорошие новости: хоть бесполезных времен и нет, не все они одинаково важны. Чтобы делать первые шаги в английском ― например, рассказать про себя и свои хобби ― достаточно уже одного Present Simple. Сохраняйте карточки с пятью самыми нужными временами в английском 🇬🇧",0,396,381,777
1598247960,"Английские синонимы, в которых уже заложено усиление.

very old fashioned — очень старомодный → archaic — архаичный
very open — очень открытый → transparent — прозрачный
very painful — очень болезненный → excruciating — мучительный
very pale — очень бледный → ashen — пепельный
very perfect — превосходно → flawless — безупречно
very poor — очень бедный → destitute — нуждающийся
very powerful — очень могущественный → compelling — непреодолимый, неотразимый
very pretty — очень хорошенькая → beautiful — красивая
very quick — очень быстрый → rapid — быстрый
very quiet — очень тихий → hushed — приглушенный
very rainy — очень дождливо → pouring — проливной
very rich — очень богат → wealthy — состоятельный
very sad — очень грустный → sorrowful — скорбный, печальный
very scared — очень напуган → petrified — окаменелый
very scary — очень страшно → chilling — холодеть
very serious — очень серьезный → grave — угрожающий, мрачный
very sharp — очень острый → keen — острый
very shiny — очень блестящие → gleaming — мерцать, светиться
very short — очень короткий → brief — краткий
very shy — очень стеснительный → timid — робкий
very simple — очень простой → basic",9,664,102,775
1552739280,"Дэни собрал для вас самый топовый американский сленг. Забирайте себе, не благодарите. 🙌🏻
⠀
1. TO CATCH SOME Z’S: to take a nap, to have some sleep
Поспать, подремать. Пошло от обозначения сна в комиксах “Zzzz”.
⠀
Can you turn the music down a bit, I’m trying to catch some Z’s
Не мог бы убавить звук немного, я пытаюсь поспать.
⠀
2. ANTSY: impatient, sometimes even nervous
Нетерпеливый, взвинченный, весь как на иголках.
⠀
I’m getting all antsy waiting for the final “Game of Thrones” season.
Я весь на иголках в ожидании финального сезона «Игры престолов».
⠀
3. PAPER BELLY: a person who gets easily drunk
Человек, который не умеет пить, напивается от одного бокала.
⠀
— I only had one beer and I’m already tipsy.
— Geez, you're such a paper belly...
— Я выпил всего одно пиво и уже чувствую себя подвыпившим.
— Господи, да ты вообще не умеешь пить…
⠀
4. TOPE: a mix between “totally” and “dope”, used to describe smth/smb really cool
Комбинация слов totally (абсолютно, совершенно) и dope (крутой, клевый). Так можно описать что-то или кого-то нереально крутое.
⠀
OMG, your latest tweet is tope.
ОМГ, твой последний твит нереально крут.
⠀
5. TO SIP ONE’S TEA: to mind your own business because smth does not concern you
Есть сленговое выражение to spill tea — проговориться, рассказать какой-то секрет, сплетни. От него пошло выражение с противоположным значением — не лезть в чужие дела, не совать никуда свой нос.
⠀
— Have you heard that Josh is cheating on Tiffany?
— I'm just gonna sip my tea because it’s none of my business.
— Слышала, что Джош изменяет Тиффани?
— Я не буду совать свой нос в чужие дела, меня это не касается.

Узнайте, больше сленга на бесплатном уроке английского: http://skyeng.ru/go/vocabvk",28,673,72,773
1560611851,"Вы можете учить английский вообще бесплатно и ухватить мерч от Skyeng по дороге. 

✅ Дарим подарки самому активному участнику группы! 

1. Подпишитесь на уведомления о новых публикациях в нашей группе. Так мы напомним о новом супер-полезном посте, который сделали специально для вас. 

2. Подпишитесь на марафон, рассылку бесплатных уроков и разборы песен и сериалов на английском: https://vk.com/skyeng?w=app6258612_-51890028

3. Лайкайте посты, которые прочитали, сохраняйте себе, если нет времени изучить. Комментируйте, было вам полезно или нет — все это вы делаете для своего английского. 

Мы все видим 😎 и по понедельникам награждаем самого умного и активного подписчика. Подарки этой недели — 2 урока английского на баланс и толстовка «инглиш из май суперпауэр». 💪🏻
Заходите в 12:00 в понедельник. Будем определять победителя!

Лидеры этой недели: 
1) [id134503782|Маргарита Каманицына] – 90 баллов 
2) [id244952156|Алeна Вяткина] – 70 баллов 
3) [id346065795|Регина Галлямова] – 61 балл 

Напишите в комментариях «узнать баллы», если вам интересно на каком вы месте. 😉",196,557,2,755
1613550503,"В чем разница между must и should? А когда использовать have to? Чтобы раз и навсегда разобраться в модальных глаголах, сохраняйте наши карточки с объяснениями и примерами 🇬🇧
⠀
Полезно? Ставьте ➕ в комментариях, если вам нравятся такие подборки и вы хотели бы их видеть чаще.",32,393,329,754
1593012000,В вашу видео-копилку на выходные. 👇🏻,32,654,63,749
1554805320,"Дэни собрал для вас самый топовый американский сленг. Забирайте себе, не благодарите. 🙌🏻
⠀
1. TO CATCH SOME Z’S: to take a nap, to have some sleep
Поспать, подремать. Пошло от обозначения сна в комиксах “Zzzz”.
⠀
Can you turn the music down a bit, I’m trying to catch some Z’s
Не мог бы убавить звук немного, я пытаюсь поспать.
⠀
2. ANTSY: impatient, sometimes even nervous
Нетерпеливый, взвинченный, весь как на иголках.
⠀
I’m getting all antsy waiting for the final “Game of Thrones” season.
Я весь на иголках в ожидании финального сезона «Игры престолов».
⠀
3. PAPER BELLY: a person who gets easily drunk
Человек, который не умеет пить, напивается от одного бокала.
⠀
— I only had one beer and I’m already tipsy.
— Geez, you're such a paper belly...
— Я выпил всего одно пиво и уже чувствую себя подвыпившим.
— Господи, да ты вообще не умеешь пить…
⠀
4. TOPE: a mix between “totally” and “dope”, used to describe smth/smb really cool
Комбинация слов totally (абсолютно, совершенно) и dope (крутой, клевый). Так можно описать что-то или кого-то нереально крутое.
⠀
OMG, your latest tweet is tope.
ОМГ, твой последний твит нереально крут.
⠀
5. TO SIP ONE’S TEA: to mind your own business because smth does not concern you
Есть сленговое выражение to spill tea — проговориться, рассказать какой-то секрет, сплетни. От него пошло выражение с противоположным значением — не лезть в чужие дела, не совать никуда свой нос.
⠀
— Have you heard that Josh is cheating on Tiffany?
— I'm just gonna sip my tea because it’s none of my business.
— Слышала, что Джош изменяет Тиффани?
— Я не буду совать свой нос в чужие дела, меня это не касается.

И подарок: +2 урока к первой оплате по ссылке: skyeng.ru/go/vkpromo",41,643,52,736
1622707174,"Английские предлоги не поддаются каким-либо правилам 🤷🏻‍♀. Можно часами зубрить их, но лучше постараться понять и почувствовать, где ставить on, а где in. 
 
Мы сделали удобные карточки 📝 с самыми распространенными фразами для самых популярных предлогов, чтобы упростить вам задачу. 
 
Сохраняйте и перечитывайте их хотя бы раз в день 🤓, и нужные сочетания сами отложатся в памяти! 
 
Еще лучше разобраться в грамматике английского языка поможет эта ссылка: https://go.skyeng.ru/freelessons21🔥",0,361,374,735
1592829812,"Фразовые глаголы со словом get, которые должен знать каждый, кто учит английский. 
⠀
Сохраняйте себе. 🤓📝",11,622,99,732
